Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,Loyal Customer,41,Personal Travel,Eco,569,2,5,2,4,2,2,2,2,1,5,3,3,1,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,Personal Travel,Business,1085,3,5,2,3,3,4,5,4,4,2,4,4,4,3,23,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,468,3,2,3,2,5,3,5,5,1,4,2,1,3,5,4,0.0,neutral or dissatisfied
Female,Loyal Customer,34,Personal Travel,Eco Plus,303,4,5,4,2,3,4,3,3,5,5,5,3,5,3,49,50.0,neutral or dissatisfied
Male,Loyal Customer,21,Personal Travel,Eco,1190,4,4,4,4,1,4,1,1,5,3,3,3,4,1,8,0.0,satisfied
Male,Loyal Customer,61,Business travel,Business,3883,2,4,4,4,5,4,3,2,2,2,2,2,2,2,0,13.0,neutral or dissatisfied
Female,Loyal Customer,59,Personal Travel,Eco,293,4,5,4,1,3,5,5,1,1,4,4,3,1,5,42,26.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,3893,5,5,5,5,5,4,4,4,4,4,4,5,4,5,58,64.0,satisfied
Male,Loyal Customer,42,Business travel,Business,547,4,4,4,4,4,4,4,3,3,3,3,4,3,4,0,0.0,satisfied
Female,Loyal Customer,23,Business travel,Business,438,4,4,4,4,4,4,4,4,1,2,2,5,3,4,0,12.0,satisfied
Male,Loyal Customer,43,Business travel,Business,265,0,0,0,5,4,5,4,5,5,3,3,4,5,3,11,0.0,satisfied
Male,disloyal Customer,14,Business travel,Eco,926,3,4,4,3,2,4,1,2,2,4,4,1,3,2,2,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,624,2,5,5,5,3,3,3,2,2,2,2,3,2,2,12,38.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,2946,4,1,1,1,2,1,2,4,4,4,4,1,4,1,76,66.0,neutral or dissatisfied
Male,disloyal Customer,21,Business travel,Eco,130,2,4,2,4,3,2,3,3,3,4,5,5,5,3,15,18.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,1865,5,5,5,5,3,5,4,5,5,5,5,5,5,3,16,10.0,satisfied
Male,Loyal Customer,56,Business travel,Eco Plus,1106,3,3,3,3,3,3,3,3,3,1,3,3,3,3,0,14.0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,2582,5,5,5,5,2,4,4,4,4,4,4,3,4,3,6,2.0,satisfied
Male,Loyal Customer,21,Business travel,Eco Plus,2133,1,1,1,1,1,1,2,1,3,3,4,3,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Personal Travel,Eco,1911,3,5,4,1,5,4,5,5,5,2,3,5,5,5,6,21.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,2489,2,4,2,2,4,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
Female,Loyal Customer,40,Business travel,Eco,156,1,4,4,4,1,1,1,1,2,4,3,3,2,1,95,89.0,neutral or dissatisfied
Female,Loyal Customer,40,Personal Travel,Eco,399,3,4,3,1,1,3,1,1,5,1,2,5,1,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Business,2283,3,4,4,4,3,3,3,3,3,1,1,4,2,3,44,37.0,neutral or dissatisfied
Female,Loyal Customer,22,Personal Travel,Eco,591,1,4,1,4,2,1,2,2,4,4,5,4,4,2,1,0.0,neutral or dissatisfied
Male,Loyal Customer,57,Business travel,Eco,528,5,3,3,3,4,5,4,4,2,2,3,4,3,4,53,52.0,satisfied
Male,Loyal Customer,51,Business travel,Business,150,1,1,1,1,3,4,5,5,5,5,4,4,5,3,0,0.0,satisfied
Male,Loyal Customer,56,Business travel,Business,319,4,4,4,4,4,4,2,5,5,5,5,3,5,1,0,0.0,satisfied
Male,Loyal Customer,23,Business travel,Business,644,3,3,3,3,3,3,3,3,2,3,3,1,4,3,39,22.0,neutral or dissatisfied
Male,Loyal Customer,57,Business travel,Business,89,2,2,2,2,2,4,4,5,5,5,4,3,5,4,5,4.0,satisfied
Female,Loyal Customer,17,Personal Travel,Eco,427,2,2,2,3,3,2,3,3,4,2,4,2,3,3,15,15.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Eco Plus,1912,1,4,4,4,1,1,1,1,2,2,4,1,4,1,5,37.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Business,770,1,1,1,1,2,5,5,2,2,3,2,3,2,4,25,24.0,satisfied
Female,Loyal Customer,68,Personal Travel,Eco,116,3,4,3,3,1,3,2,4,4,3,4,2,4,5,0,19.0,neutral or dissatisfied
Female,Loyal Customer,38,Business travel,Business,224,3,3,3,3,5,5,3,5,5,5,5,3,5,2,0,0.0,satisfied
Female,Loyal Customer,42,Personal Travel,Eco,314,4,4,4,4,5,4,5,3,3,4,3,4,3,4,66,45.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Business,239,1,1,1,4,5,1,5,5,5,5,5,4,4,5,0,0.0,neutral or dissatisfied
Male,disloyal Customer,26,Business travel,Eco,545,2,3,2,4,3,2,3,3,2,3,2,2,4,3,53,44.0,neutral or dissatisfied
Male,Loyal Customer,37,Business travel,Business,1645,2,1,1,1,3,4,3,3,3,3,2,2,3,2,19,37.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,1624,4,4,4,4,3,4,4,5,5,5,5,3,5,3,49,30.0,satisfied
Female,disloyal Customer,18,Business travel,Eco,1797,1,1,1,4,1,1,1,1,4,2,2,1,4,1,10,29.0,neutral or dissatisfied
Male,disloyal Customer,24,Business travel,Business,577,4,0,3,4,4,3,4,4,3,5,4,3,5,4,11,0.0,satisfied
Male,Loyal Customer,41,Business travel,Business,2030,1,1,1,1,3,4,3,4,4,4,1,3,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,62,Business travel,Eco,192,1,1,1,1,1,3,3,1,1,1,1,3,1,3,5,18.0,neutral or dissatisfied
